IDCode,n_items,n_rg,n_rg_incorrect,n_rg_correct,median_rt,mean_rt,rg_rate,flag_rg_participant
nawu690,57,0,0,0,12.6206,17.606929824561405,0.0,False
nehe056,57,7,0,7,7.0,13.473315789473682,0.12280701754385964,True
nejy388,57,5,0,5,21.843,25.444403508771927,0.08771929824561403,False
neku787,57,0,0,0,9.4645,17.637947368421052,0.0,False
nene689,57,1,1,0,9.4,16.91463157894737,0.017543859649122806,False
nexu635,57,0,0,0,10.12275,16.374929824561402,0.0,False
nexy906,57,29,1,28,4.825,9.384280701754387,0.5087719298245614,True
nily317,57,3,3,0,19.0155,32.35494736842105,0.05263157894736842,False
ninu744,57,17,15,2,13.145666666666664,13.385535087719298,0.2982456140350877,True
niri091,57,0,0,0,11.0845,19.027245614035085,0.0,False
nise834,57,3,3,0,9.9646,14.798828571428572,0.05263157894736842,False
nivo041,57,0,0,0,14.50875,24.145719298245616,0.0,False
node314,57,0,0,0,18.40866666666667,27.083017543859647,0.0,False
nolu547,57,10,7,3,9.004333333333333,25.10801754385965,0.17543859649122806,True
nopo152,57,0,0,0,10.74725,12.905201754385965,0.0,False
nuhi137,57,8,6,2,10.87375,13.849631578947369,0.14035087719298245,True
nujo284,57,2,1,1,10.636666666666668,21.188697368421053,0.03508771929824561,False
nupy082,57,14,4,10,6.6895,13.923526315789474,0.24561403508771928,True
nycu731,57,6,3,3,7.73025,11.645624999999999,0.10526315789473684,True
nyfe489,57,0,0,0,8.265,19.318859649122807,0.0,False
nypy058,57,4,4,0,11.0,13.310771929824561,0.07017543859649122,False
nysa238,57,0,0,0,17.04625,25.55490643274854,0.0,False
nysu060,57,0,0,0,8.809,12.777192982456139,0.0,False
pajo050,57,5,1,4,7.2255,11.084477272727272,0.08771929824561403,False
pala257,57,0,0,0,10.7,19.935631578947365,0.0,False
paxi044,57,23,23,0,11.2,13.80953216374269,0.40350877192982454,True
peqa279,57,0,0,0,9.8854,19.13182456140351,0.0,False
peqo117,57,0,0,0,7.1,7.89008,0.0,False
peto053,57,3,0,3,8.2,14.437719298245614,0.05263157894736842,False
pile112,57,0,0,0,8.2225,16.495298245614034,0.0,False
pimi228,57,14,4,10,6.2118,16.705807017543858,0.24561403508771928,True
pino324,57,0,0,0,14.584333333333332,27.57638596491228,0.0,False
pipo687,57,0,0,0,22.576666666666668,26.339594594594594,0.0,False
piro376,57,0,0,0,12.1985,23.522988304093566,0.0,False
pivi588,57,0,0,0,11.90975,17.593052631578946,0.0,False
pody147,57,14,2,12,10.1754,14.168947368421053,0.24561403508771928,True
pogi169,57,0,0,0,19.2845,29.183087719298243,0.0,False
posy537,57,3,0,3,6.624333333333333,11.432298245614035,0.05263157894736842,False
posy958,57,0,0,0,9.9545,14.773382978723403,0.0,False
powu461,57,0,0,0,14.1,20.786122807017545,0.0,False
pubu440,57,27,21,6,6.320875,8.413055555555555,0.47368421052631576,True
puca767,57,0,0,0,13.25575,20.400964912280703,0.0,False
puce552,57,3,3,0,18.3575,18.967456140350876,0.05263157894736842,False
pufe463,57,25,1,24,4.925333333333333,10.580228070175439,0.43859649122807015,True
puju088,57,0,0,0,14.899666666666668,24.055245614035087,0.0,False
punu537,57,0,0,0,7.7,11.338301886792454,0.0,False
punu787,57,0,0,0,14.98775,23.63316071428571,0.0,False
pusu302,57,0,0,0,10.652899999999999,24.490785714285717,0.0,False
puxi257,57,3,3,0,7.157666666666667,11.94059649122807,0.05263157894736842,False
pymu787,57,5,5,0,8.4,19.41884210526316,0.08771929824561403,False
pyqy867,57,0,0,0,11.617333333333336,17.571859649122807,0.0,False
pytu496,57,9,0,9,8.76325,14.42877192982456,0.15789473684210525,True
pyzi618,57,32,0,32,3.36325,13.45936842105263,0.5614035087719298,True
pyzo535,57,0,0,0,14.1,26.652037037037037,0.0,False
qafe413,57,2,2,0,13.037,13.749543859649124,0.03508771929824561,False
qafu966,57,0,0,0,15.4,36.84359259259259,0.0,False
qami382,57,8,1,7,15.509,18.87822807017544,0.14035087719298245,True
qapo730,57,0,0,0,12.7,20.307116279069767,0.0,False
qecu035,57,4,3,1,13.7,24.6149649122807,0.07017543859649122,False
qedo478,57,0,0,0,12.48825,18.5899649122807,0.0,False
qefe646,57,5,5,0,10.182333333333334,19.316561403508775,0.08771929824561403,False
qejy219,57,0,0,0,9.1,15.29840350877193,0.0,False
qewy924,57,12,1,11,7.0,10.795578947368421,0.21052631578947367,True
qexo432,57,0,0,0,9.4,16.014526315789475,0.0,False
qiqi041,57,0,0,0,8.19125,12.622022727272729,0.0,False
qisu640,57,7,5,2,9.5,14.469745098039215,0.12280701754385964,True
qixy634,57,0,0,0,18.761666666666667,28.745491228070176,0.0,False
qoha890,57,3,0,3,9.8,13.181456140350877,0.05263157894736842,False
qosy291,57,5,4,1,7.317,10.453947368421053,0.08771929824561403,False
quhe482,57,15,10,5,7.822333333333333,10.603921052631579,0.2631578947368421,True
qutu379,57,17,15,2,7.8,14.042859649122807,0.2982456140350877,True
quzy338,57,0,0,0,19.10525,22.618894736842105,0.0,False
qyjo579,57,13,1,12,7.53175,16.319315789473684,0.22807017543859648,True
qyxy586,57,5,1,4,11.4,17.66605263157895,0.08771929824561403,False
raja244,57,0,0,0,10.64825,15.633350877192983,0.0,False
raje697,57,0,0,0,15.596,24.977824561403512,0.0,False
rapo615,57,0,0,0,19.610333333333333,35.139075000000005,0.0,False
rapo919,57,9,2,7,6.3,12.291384615384617,0.15789473684210525,True
ratu271,57,0,0,0,10.44725,14.661754385964914,0.0,False
ravy196,57,0,0,0,13.2,18.96198245614035,0.0,False
rawo522,57,0,0,0,9.9,18.311947368421052,0.0,False
raxe285,57,10,5,5,9.31625,11.676859649122807,0.17543859649122806,True
raxy329,57,7,2,5,8.436,13.690315789473683,0.12280701754385964,True
recu163,57,0,0,0,15.787,25.05471929824561,0.0,False
rejy122,57,0,0,0,11.1,22.358649122807016,0.0,False
remi231,57,0,0,0,11.4975,19.45861403508772,0.0,False
reqy562,57,0,0,0,13.441666666666666,20.80757894736842,0.0,False
reve265,57,0,0,0,11.778,14.441894736842105,0.0,False
riby296,57,0,0,0,17.6,17.59643859649123,0.0,False
rihi168,57,4,4,0,13.398333333333332,22.009736842105266,0.07017543859649122,False
rino885,57,13,1,12,6.4148000000000005,10.740666666666668,0.22807017543859648,True
risy585,57,0,0,0,12.1592,14.350398148148148,0.0,False
